2018-06-01 12:16:47 configure lib32ncurses5:amd64 6.1-1ubuntu1 <none>
2018-06-01 12:16:47 status unpacked lib32ncurses5:amd64 6.1-1ubuntu1
2018-06-01 12:16:47 status half-configured lib32ncurses5:amd64 6.1-1ubuntu1
2018-06-01 12:16:47 status installed lib32ncurses5:amd64 6.1-1ubuntu1
2018-06-01 12:16:47 configure libc6:i386 2.27-3ubuntu1 <none>
2018-06-01 12:16:47 status unpacked libc6:i386 2.27-3ubuntu1
2018-06-01 12:16:47 status unpacked libc6:i386 2.27-3ubuntu1
2018-06-01 12:16:47 status half-configured libc6:i386 2.27-3ubuntu1
2018-06-01 12:16:47 status installed libc6:i386 2.27-3ubuntu1
2018-06-01 12:16:47 configure libbsd0:i386 0.8.7-1 <none>
2018-06-01 12:16:47 status unpacked libbsd0:i386 0.8.7-1
2018-06-01 12:16:47 status half-configured libbsd0:i386 0.8.7-1
2018-06-01 12:16:47 status installed libbsd0:i386 0.8.7-1
2018-06-01 12:16:47 configure libxdmcp6:i386 1:1.1.2-3 <none>
2018-06-01 12:16:47 status unpacked libxdmcp6:i386 1:1.1.2-3
2018-06-01 12:16:47 status half-configured libxdmcp6:i386 1:1.1.2-3
2018-06-01 12:16:47 status installed libxdmcp6:i386 1:1.1.2-3
2018-06-01 12:16:47 configure libxau6:i386 1:1.0.8-1 <none>
2018-06-01 12:16:47 status unpacked libxau6:i386 1:1.0.8-1
2018-06-01 12:16:47 status half-configured libxau6:i386 1:1.0.8-1
2018-06-01 12:16:47 status installed libxau6:i386 1:1.0.8-1
2018-06-01 12:16:47 configure libgcc1:i386 1:8-20180414-1ubuntu2 <none>
2018-06-01 12:16:47 status unpacked libgcc1:i386 1:8-20180414-1ubuntu2
2018-06-01 12:16:47 status half-configured libgcc1:i386 1:8-20180414-1ubuntu2
2018-06-01 12:16:47 status installed libgcc1:i386 1:8-20180414-1ubuntu2
2018-06-01 12:16:47 configure libstdc++6:i386 8-20180414-1ubuntu2 <none>
2018-06-01 12:16:47 status unpacked libstdc++6:i386 8-20180414-1ubuntu2
2018-06-01 12:16:47 status half-configured libstdc++6:i386 8-20180414-1ubuntu2
2018-06-01 12:16:47 status installed libstdc++6:i386 8-20180414-1ubuntu2
2018-06-01 12:16:47 configure libxcb1:i386 1.13-1 <none>
2018-06-01 12:16:47 status unpacked libxcb1:i386 1.13-1
2018-06-01 12:16:47 status half-configured libxcb1:i386 1.13-1
2018-06-01 12:16:47 status installed libxcb1:i386 1.13-1
2018-06-01 12:16:47 configure libx11-6:i386 2:1.6.4-3 <none>
2018-06-01 12:16:47 status unpacked libx11-6:i386 2:1.6.4-3
2018-06-01 12:16:47 status half-configured libx11-6:i386 2:1.6.4-3
2018-06-01 12:16:47 status installed libx11-6:i386 2:1.6.4-3
2018-06-01 12:16:47 configure libxrender1:i386 1:0.9.10-1 <none>
2018-06-01 12:16:47 status unpacked libxrender1:i386 1:0.9.10-1
2018-06-01 12:16:47 status half-configured libxrender1:i386 1:0.9.10-1
2018-06-01 12:16:47 status installed libxrender1:i386 1:0.9.10-1
2018-06-01 12:16:47 configure libxext6:i386 2:1.3.3-1 <none>
2018-06-01 12:16:47 status unpacked libxext6:i386 2:1.3.3-1
2018-06-01 12:16:47 status half-configured libxext6:i386 2:1.3.3-1
2018-06-01 12:16:47 status installed libxext6:i386 2:1.3.3-1
2018-06-01 12:16:47 configure libxtst6:i386 2:1.2.3-1 <none>
2018-06-01 12:16:47 status unpacked libxtst6:i386 2:1.2.3-1
2018-06-01 12:16:47 status half-configured libxtst6:i386 2:1.2.3-1
2018-06-01 12:16:47 status installed libxtst6:i386 2:1.2.3-1
2018-06-01 12:16:47 configure libxi6:i386 2:1.7.9-1 <none>
2018-06-01 12:16:47 status unpacked libxi6:i386 2:1.7.9-1
2018-06-01 12:16:47 status half-configured libxi6:i386 2:1.7.9-1
2018-06-01 12:16:47 status installed libxi6:i386 2:1.7.9-1
2018-06-01 12:16:47 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-06-01 12:16:47 status half-configured libc-bin:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 status installed libc-bin:amd64 2.27-3ubuntu1
2018-06-01 12:17:13 startup archives unpack
2018-06-01 12:17:13 install libgpg-error0:i386 <none> 1.27-6
2018-06-01 12:17:13 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-06-01 12:17:13 status half-installed libgpg-error0:i386 1.27-6
2018-06-01 12:17:13 status unpacked libgpg-error0:i386 1.27-6
2018-06-01 12:17:13 status unpacked libgpg-error0:i386 1.27-6
2018-06-01 12:17:13 install libgcrypt20:i386 <none> 1.8.1-4ubuntu1
2018-06-01 12:17:13 status half-installed libgcrypt20:i386 1.8.1-4ubuntu1
2018-06-01 12:17:13 status unpacked libgcrypt20:i386 1.8.1-4ubuntu1
2018-06-01 12:17:13 status unpacked libgcrypt20:i386 1.8.1-4ubuntu1
2018-06-01 12:17:13 install liblz4-1:i386 <none> 0.0~r131-2ubuntu3
2018-06-01 12:17:13 status half-installed liblz4-1:i386 0.0~r131-2ubuntu3
2018-06-01 12:17:13 status unpacked liblz4-1:i386 0.0~r131-2ubuntu3
2018-06-01 12:17:13 status unpacked liblz4-1:i386 0.0~r131-2ubuntu3
2018-06-01 12:17:13 install liblzma5:i386 <none> 5.2.2-1.3
2018-06-01 12:17:13 status half-installed liblzma5:i386 5.2.2-1.3
2018-06-01 12:17:13 status unpacked liblzma5:i386 5.2.2-1.3
2018-06-01 12:17:13 status unpacked liblzma5:i386 5.2.2-1.3
2018-06-01 12:17:13 startup packages configure
